panel_id,Area
149,Switzerland
152,Thailand
162,United Republic of Tanzania
166,Venezuela
159,Uganda
0,Afghanistan
158,Turkey
168,Yemen
154,Togo
150,Syria
163,United States of America
167,Vietnam
156,Tunisia
155,Trinidad and Tobago
165,Uzbekistan
151,Tajikistan
160,Ukraine
169,Zambia
161,United Arab Emirates
157,Turkmenistan
164,Uruguay
153,East Timor
9,Azerbaijan
147,Suriname
58,Gabon
57,France
56,Finland
55,Fiji
54,Ethiopia
53,eSwatini
6,Armenia
52,Estonia
50,Equatorial Guinea
49,El Salvador
48,Egypt
47,Ecuador
46,Dominican Republic
45,Dominica
51,Eritrea
59,Gambia
60,Georgia
61,Germany
75,Iran
74,Indonesia
5,Argentina
73,India
72,Iceland
71,Hungary
70,Honduras
69,Haiti
68,Guyana
67,Guinea-Bissau
66,Guinea
65,Guatemala
64,Grenada
63,Greece
62,Ghana
44,Djibouti
76,Iraq
43,Denmark
41,Ivory Coast
22,Bulgaria
21,Brunei
20,Brazil
19,Botswana
18,Bolivia
8,Austria
23,Burkina Faso
17,Bhutan
15,Belize
14,Belgium
13,Belarus
12,Barbados
11,Bangladesh
10,Bahrain
16,Benin
24,Burundi
25,Cabo Verde
26,Cambodia
7,Australia
40,Czechia
39,Cyprus
38,Cuba
37,Croatia
36,Costa Rica
35,Congo
34,Comoros
33,Colombia
32,China
31,Chile
30,Chad
29,Central African Republic
28,Canada
27,Cameroon
42,Democratic Republic of the Congo
77,Ireland
78,Israel
79,Italy
128,Romania
127,Moldova
126,South Korea
125,Qatar
124,Portugal
123,Poland
129,Russia
122,Philippines
120,Paraguay
119,Papua New Guinea
118,Panama
117,Pakistan
116,Oman
115,Norway
121,Peru
130,Rwanda
131,Saint Kitts and Nevis
132,Saint Lucia
146,Sudan
145,Sri Lanka
144,Spain
143,South Sudan
142,South Africa
141,Slovenia
140,Slovakia
139,Singapore
1,Albania
138,Sierra Leone
137,Republic of Serbia
136,Senegal
135,Saudi Arabia
134,Sao Tome and Principe
133,Saint Vincent and the Grenadines
114,North Macedonia
113,Nigeria
112,Niger
2,Algeria
93,Lithuania
92,Libya
91,Liberia
90,Lesotho
4,Antigua and Barbuda
89,Lebanon
88,Latvia
87,Laos
86,Kyrgyzstan
85,Kuwait
84,Kenya
83,Kazakhstan
82,Jordan
81,Japan
80,Jamaica
94,Luxembourg
148,Sweden
95,Madagascar
97,Malaysia
111,Nicaragua
110,New Zealand
109,Nepal
108,Namibia
107,Myanmar
106,Mozambique
105,Morocco
104,Mongolia
103,Mexico
102,Mauritius
3,Angola
101,Mauritania
100,Malta
99,Mali
98,Maldives
96,Malawi
170,Zimbabwe
